label,question,sentence
0,What assistant naval secretary did Fiske serve under?,"Fiske wanted to centralize authority in a chief of naval operations and an expert staff that would develop new strategies, oversee the construction of a larger fleet, coordinate war planning including force structure, mobilization plans, and industrial base, and ensure that the US Navy possessed the best possible war machines."
1,When was Enovid first approved?,"Based on fundamental research performed by Gregory Pincus and synthetic methods for progesterone developed by Carl Djerassi at Syntex and by Frank Colton at G.D. Searle & Co., the first oral contraceptive, Enovid, was developed by E.D. Searle and Co. and approved by the FDA in 1960."
0,Obsidian is what type of glass?,"The earliest known glass objects, of the mid third millennium BCE, were beads, perhaps initially created as accidental by-products of metal-working (slags) or during the production of faience, a pre-glass vitreous material made by a process similar to glazing."
1,Who invented the KSOG?,"In response to the criticism of the Kinsey scale only measuring two dimensions of sexual orientation, Fritz Klein developed the Klein sexual orientation grid (KSOG), a multidimensional scale for describing sexual orientation."
0,What year did Bill Clinton win North Carolina?,"However, Republican Mitt Romney ultimately eked out a 2-point win in North Carolina, the only 2012 swing state that Obama lost, and one of only two states (along with Indiana) to flip from Obama in 2008 to the GOP in 2012."
1,What gases come from seeps?,"The bacteria convert inorganic matter – such as hydrogen sulfide and carbon dioxide from hydrothermal vents, or methane from seeps – to organic matter that feeds themselves and their hosts, while the worms extend their palps into the gas flows to absorb the gases needed by the bacteria."
0,What is usually removed in female dogs to prevent pregnancy?,"Because of the overpopulation of dogs in some countries, many animal control agencies, such as the American Society for the Prevention of Cruelty to Animals (ASPCA), advise that dogs not intended for further breeding should be neutered, so that they do not have undesired puppies that may have to later be euthanized."
1,How many weeks pass before the monarch receives a bill from the Presiding Officer?,"After a bill has been passed, the Presiding Officer of the Scottish Parliament submits it to the monarch for royal assent after a four-week period, during which the Advocate General for Scotland, the Lord Advocate, the Attorney General or the Secretary of State for Scotland may refer the bill to the Supreme Court of the United Kingdom (prior to 1 October 2009, the Judicial Committee of the Privy Council) for review of its legality."
1,What is Today's annual cost of the Canadian Forces?,"The Armed Forces are today funded by approximately $20.1 billion annually and are presently ranked 74th in size compared to the world's other armed forces by number of total personnel, and 58th in terms of active personnel, standing at a strength of roughly 68,000, plus 27,000 reservists, 5000 Rangers, and 19,000 supplementary reserves, bringing the total force to approximately 119,000."
1,What is a celestes?,"New woodwind instruments were added, such as the contrabassoon, bass clarinet and piccolo and new percussion instruments were added, including xylophones, drums, celestes (a bell-like keyboard instrument), large orchestral harps, bells, and triangles  and even wind machines for sound effects."
0,How is adolescence defined socially?,"Communication with peers increases significantly during adolescence and peer relationships become more intense than in other stages  and more influential to the teen, affecting both the decisions and choices being made."
0,Where did the Estudiantina Figaro play?,"An Italian musician, Carlo Curti, hastily started a musical ensemble after seeing the Figaro Spanish Students perform; his group of Italian born Americans called themselves the ""Original Spanish Students,"" counting on the American public to not know the difference between the Spanish bandurrias and Italian mandolins."
1,How is the per capita income compared to the world?,"The per capita income of the Republic is often listed as being approximately $400 a year, one of the lowest in the world, but this figure is based mostly on reported sales of exports and largely ignores the unregistered sale of foods, locally produced alcoholic beverages, diamonds, ivory, bushmeat, and traditional medicine."
1,What does Humanae Vitae mean?,"Of his eight encyclicals, Pope Paul VI is best known for his encyclical Humanae vitae (Of Human Life, subtitled On the Regulation of Birth), published on 25 July 1968."
1,What happened during those years?,"The only seasons in recent times when this pattern was not followed were 1999–2000, when most rounds were played a few weeks earlier than normal as an experiment, and 2010–11 and 2012–13 when the FA Cup Final was played before the Premier League season had finished, to allow Wembley Stadium to be ready for the UEFA Champions League final, as well as in 2011–12 to allow England time to prepare for that summer's European Championships."
0,Life revolves around what in Israel?,"Israel's diverse culture stems from the diversity of its population: Jews from diaspora communities around the world have brought their cultural and religious traditions back with them, creating a melting pot of Jewish customs and beliefs."
1,What was Eisenhower's rank in 1933?,"Major Dwight D. Eisenhower graduated from the Army Industrial College (Washington, DC) in 1933 and later served on the faculty (it was later expanded to become the Industrial College of the Armed Services and is now known as the Dwight D. Eisenhower School for National Security and Resource Strategy)."
1,What is pollarding,"The willow was harvested using a traditional method of pollarding, where a tree would be cut back to the main stem."
1,What is the biggest wrestling company?,"Currently, the largest professional wrestling company worldwide is the United States-based WWE, which bought out many smaller regional companies in the late 20th century, as well as its primary US competitors WCW and Extreme Championship Wrestling (ECW) in early 2001."
0,When was the University of Valencia founded?,"Some of the most emblematic buildings of the city were built during this period, including the Serranos Towers (1392), the Lonja (1482), the Miguelete and the Chapel of the Kings of the Convent of Santo Domingo."
1,Where is Guinea-Bissau located?,"Guinea-Bissau (i/ˈɡɪni bɪˈsaʊ/, GI-nee-bi-SOW), officially the Republic of Guinea-Bissau (Portuguese: República da Guiné-Bissau, pronounced: [ʁeˈpublikɐ dɐ ɡiˈnɛ biˈsaw]), is a country in West Africa."
0,Who is the Transport Minister in Canada?,"This allows Canada and Michigan to move the project forward immediately to its next steps which include further design work and property acquisition on the U.S. side of the border, Raitt said in a statement issued after she spoke in the House of Commons."
0,What is Rodman's Neck between?,"The opposite (southeastern) side of the Bronx has four large low peninsulas or ""necks"" of low-lying land that jut into the waters of the East River and were once salt marsh: Hunt's Point, Clason's Point, Screvin's Neck and Throg's Neck."
1,Who was a British archaeologist?,"The last great book written by Leonard Woolley, British archaeologist, excavator of ancient Ur and associate of T.E. Lawrence and Arthur Evans, was The Art of the Middle East, Including Persia, Mesopotamia and Palestine, published in 1961."
0,"What distinguishes Latin, Greek, and Cyrillic from one another?","In other words, while the shapes of letters like A, B, E, H, K, M, O, P, T, X, Y and so on are shared between the Latin, Greek, and Cyrillic alphabets (and small differences in their canonical forms may be considered to be of a merely typographical nature), it would still be problematic for a multilingual character set or a font to provide only a single codepoint for, say, uppercase letter B, as this would make it quite difficult for a wordprocessor to change that single uppercase letter to one of the three different choices for the lower-case letter, b (Latin), β (Greek), or в (Cyrillic)."
0,Many records showed what?,"Other historians have been more cautious in interpreting this material, noting that chroniclers also reported John's personal interest in the life of St Wulfstan of Worcester and his friendships with several senior clerics, most especially with Hugh of Lincoln, who was later declared a saint."
1,What international awards have been won by the Boom Festival?,"Furthermore, one of the largest international Goa trance festivals takes place in central Portugal every two years, the Boom Festival, that is also the only festival in Portugal to win international awards: European Festival Award 2010 – Green'n'Clean Festival of the Year and the Greener Festival Award Outstanding 2008 and 2010."
0,What is a highly prized fixture of Estonian society?,"Like the mainstream culture in the other Nordic countries, Estonian culture can be seen to build upon the ascetic environmental realities and traditional livelihoods, a heritage of comparatively widespread egalitarianism out of practical reasons (see: Everyman's right and universal suffrage), and the ideals of closeness to nature and self-sufficiency (see: summer cottage)."
1,How many bearers decided not to participate?,"A total of five intended torchbearers -Kiran Bedi, Soha Ali Khan, Sachin Tendulkar, Bhaichung Bhutia and Sunil Gavaskar- withdrew from the event, citing ""personal reasons"", or, in Bhutia's case, explicitly wishing to ""stand by the people of Tibet and their struggle"" and protest against the PRC ""crackdown"" in Tibet."
1,When did Aryabhata live?,"Indian astronomer and mathematician Aryabhata (476-550), in his Aryabhatiya (499) introduced a number of trigonometric functions (including sine, versine, cosine and inverse sine), trigonometric tables, and techniques and algorithms of algebra."
0,What year was Tuscon's largest office building built?,"Restaurant Row is sandwiched by three of Tucson's storied Neighborhoods: Harold Bell Wright Estates, named after the famous author's ranch which occupied some of that area prior to the depression; the Tucson Country Club (the third to bear the name Tucson Country Club), and the Dorado Country Club."
0,What is a solar balloon?,"Some solar balloons are large enough for human flight, but usage is generally limited to the toy market as the surface-area to payload-weight ratio is relatively high."
0,When was the Jin Dynasty?,"For example, the clan of Zhuge Liang (181–234), a chancellor of the state of Shu Han from Central Plain in north China during the Three Kingdoms period, gathered together at the suburb of Hangzhou, forming an exclusive, closed village Zhuge Village (Zhege Cun), consisting of villagers all with family name ""Zhuge""."
0,When was Madonna's daughter born?,"Biographer Mary Cross writes that although Madonna was often ill during the filming and worried that her pregnancy would harm the film, she reached some important personal goals: ""Now 38 years old, Madonna had at last triumphed on screen and achieved her dream of having a child, both in the same year."
1,What 1876 Novel did Namik Kemal write?,"Many of the writers in the Tanzimat period wrote in several different genres simultaneously: for instance, the poet Namik Kemal also wrote the important 1876 novel İntibâh (""Awakening""), while the journalist İbrahim Şinasi is noted for writing, in 1860, the first modern Turkish play, the one-act comedy ""Şair Evlenmesi"" (""The Poet's Marriage"")."
1,Where did these Germans eventually occupy?,"With their followers of both German, English and Scots-Irish origin, they worked their way southward and soon occupied all of the Shenandoah Valley, ceded by the Iroquois, and the upper reaches of the Great Valley tributaries of the Tennessee River, ceded by the Cherokee."
1,What is a criticism of other streaming services?,"The idea of having an all artist owned streaming service was created by those involved to adapt to the increased demand for streaming within the current music industry, and to rival other streaming services such as Spotify, which have been criticised for their low payout of royalties."
0,What market did Dell ignore at first?,"While the industry’s average selling price to individuals was going down, Dell's was going up, as second- and third-time computer buyers who wanted powerful computers with multiple features and did not need much technical support were choosing Dell."
1,Which port is Galicia's most important?,"The most important Galician fishing port is the Port of Vigo; It is one of the world's leading fishing ports, second only to Tokyo, with an annual catch worth 1,500 million euros."
1,Who operates these lines?,"In addition, the Paris region is served by a light rail network of nine lines, the tramway: Line T1 runs from Asnières-Gennevilliers to Noisy-le-Sec, line T2 runs from Pont de Bezons to Porte de Versailles, line T3a runs from Pont du Garigliano to Porte de Vincennes, line T3b runs from Porte de Vincennes to Porte de la Chapelle, line T5 runs from Saint-Denis to Garges-Sarcelles, line T6 runs from Châtillon to Velizy, line T7 runs from Villejuif to Athis-Mons, line T8 runs from Saint-Denis to Épinay-sur-Seine and Villetaneuse, all of which are operated by the Régie Autonome des Transports Parisiens, and line T4 runs from Bondy RER to Aulnay-sous-Bois, which is operated by the state rail carrier SNCF."
0,What agency pioneered DNA testing?,"With reduced cuts to other well-established departments, and because terrorism was no longer considered a threat after the end of the Cold War, the FBI assisted local and state police forces in tracking fugitives who had crossed state lines, which is a federal offense."
1,When was Strasbourg annexed by the Kingdom of France?,"Although Strasbourg had been annexed by the Kingdom of France in 1683, it still remained connected to the German-speaking intellectual world throughout the 18th century and the university attracted numerous students from the Holy Roman Empire, including Goethe, Metternich and Montgelas, who studied law in Strasbourg, among the most prominent."
0,What period was from 500-1400?,"The 20th century calendar period (1901–2000) includes most of the early modern musical era (1890–1930), the entire high modern (mid 20th-century), and the first 25 years of the contemporary or postmodern musical era (1975–current)."
1,What is crosspicking?,"Other major bluegrass mandolinists who emerged in the early 1950s and are still active include Jesse McReynolds (of Jim and Jesse) who invented a syncopated banjo-roll-like style called crosspicking—and Bobby Osborne of the Osborne Brothers, who is a master of clarity and sparkling single-note runs."
1,What is one of the most dangerous jobs for USAF personnel?,"Beyond combat flight crew personnel, perhaps the most dangerous USAF jobs are Explosive Ordnance Disposal (EOD), Combat rescue officer, Pararescue, Security Forces, Combat Control, Combat Weather, Tactical Air Control Party, and AFOSI agents, who deploy with infantry and special operations units who disarm bombs, rescue downed or isolated personnel, call in air strikes and set up landing zones in forward locations."
1,What airport serves Melbourne?,"The main passenger airport serving the metropolis and the state is Melbourne Airport (also called Tullamarine Airport), which is the second busiest in Australia, and"
1,Where did 60% of populations stay?,"Peak use of the Underground as shelter was 177,000 on 27 September 1940, and a November 1940 census of London found that about 4% of residents used the Tube and other large shelters; 9% in public surface shelters; and 27% in private home shelters, implying that the remaining 60% of the city likely stayed at home."
0,Dragonflys use what kind of propulsion?,Other insects such as the Rove beetle Stenus are known to emit pygidial gland secretions that reduce surface tension making it possible for them to move on the surface of water by Marangoni propulsion (also known by the German term Entspannungsschwimmen).
0,Jazz and blues use ad libitum and what other ornamentation?,"Another difference is that whereas most popular styles lend themselves to the song form, classical music has been noted for its development of highly sophisticated forms of instrumental music such as the concerto, symphony, sonata, and mixed vocal and instrumental styles such as opera which, since they are written down, can attain a high level of complexity."
1,How was St. Augustine founded?,"In 1565, the Spaniards, by way of Juan Ponce de León, founded St. Augustine, Florida, and as of the early 1800s, it became the oldest continuously occupied European settlement in the continental United States."
0,How long has  Yale Field been open and active?,"New Haven has a history of professional sports franchises dating back to the 19th century and has been the home to professional baseball, basketball, football, hockey, and soccer teams—including the New York Giants of the National Football League from 1973 to 1974, who played at the Yale Bowl."
1,What are replication origins?,"In addition to genes, eukaryotic chromosomes contain sequences involved in ensuring that the DNA is copied without degradation of end regions and sorted into daughter cells during cell division: replication origins, telomeres and the centromere.:4.2 Replication origins are the sequence regions where DNA replication is initiated to make two copies of the chromosome."
0,What percentage of the city's population is Caucasian?,"Hispanics of any race represented 28.6% of the population, while Asians constituted the fastest-growing segment of the city's population between 2000 and 2010; the non-Hispanic white population declined 3 percent, the smallest recorded decline in decades; and for the first time since the Civil War, the number of blacks declined over a decade."
1,What was John's nickname?,"At this time it seemed unlikely that John would ever inherit substantial lands, and he was jokingly nicknamed ""Lackland"" by his father."
1,What nationality was de Beauvoir?,"After a visit to Brasília, the French writer Simone de Beauvoir complained that all of its superquadras exuded ""the same air of elegant monotony,"" and other observers have equated the city's large open lawns, plazas, and fields to wastelands."
0,What happened to the reward the BBC received?,"In 2011, following an investigation by the BBC Trust’s Editorial Standards Committee, the BBC announced, ""Having carefully scrutinised all of the relevant evidence, the committee concluded that, on the balance of probabilities, it was more likely than not that the Bangalore footage was not authentic."""
0,What phrase has been called a misnomer?,"It is argued that the term war is not appropriate in this context (as in War on Drugs), since there is no identifiable enemy, and that it is unlikely international terrorism can be brought to an end by military means."
1,"What does the new ""race science"" call attention to the importance of?","Abu el-Haj concluded that this new ""race science"" calls attention to the importance of ""ancestry"" (narrowly defined, as it does not include all ancestors) in some religions and in popular culture, and people's desire to use science to confirm their claims about ancestry; this ""race science"", she argues, is fundamentally different from older notions of race that were used to explain differences in human behaviour or social status:"
0,Humans consider most insects as what?,"Insect pollinators are essential to the life-cycle of many flowering plant species on which most organisms, including humans, are at least partly dependent; without them, the terrestrial portion of the biosphere (including humans) would be devastated."
1,What is the interest of the Savile club at Eton?,"Those in existence at present include: Aeronautical, African, Alexander Cozens (Art), Amnesty, Archeological, Architectural, Astronomy, Banks (conservation), Caledonian, Cheese, Classical, Comedy, Cosmopolitan, Debating, Design, Entrepreneurship, Geographical, Henry Fielding, Hispanic, History, Keynes (economics), Law, Literary, Mathematical, Medical, Middle Eastern, Model United Nations, Modern Languages, Oriental, Orwell (left-wing), Simeon (Christian), Parry (music), Photographic, Political, Praed (poetry), Rock (music), Rous (equestrian), Salisbury (diplomatic), Savile (Rare Books and Manuscripts), Shelley, Scientific, Sports, Tech Club, Theatre, Wellington (military), Wine and Wotton’s (philosophy)."
0,How much money did the State Department give the traffickers?,"The Kerry Committee report found that ""the Contra drug links included..... payments to drug traffickers by the U.S. State Department of funds authorized by the Congress for humanitarian assistance to the Contras, in some cases after the traffickers had been indicted by federal law enforcement agencies on drug charges, in others while traffickers were under active investigation by these same agencies."
0,Where was Goa?,"Anjiro was not an intellectual, but he impressed Xavier because he took careful notes of everything he said in church."
1,What did the Romans call the third hour before sunrise?,"For example, Roman water clocks had different scales for different months of the year: at Rome's latitude the third hour from sunrise, hora tertia, started by modern standards at 09:02 solar time and lasted 44 minutes at the winter solstice, but at the summer solstice it started at 06:58 and lasted 75 minutes."
0,Who wrote American Idol: The Untold Story?,"The Untold Story, said, ""You have this alliance between young girls and grandmas and they see it, not necessarily as a contest to create a pop star competing on the contemporary radio, but as .... who's the nicest guy in a popularity contest,"" he says, ""And that has led to this dynasty of four, and possibly now five, consecutive, affable, very nice, good-looking white boys."""
0,Who owns the Football Association Premier League?,"The Football Association is not directly involved in the day-to-day operations of the Premier League, but has veto power as a special shareholder during the election of the chairman and chief executive and when new rules are adopted by the league."
0,Who developed the 33 1/3 rpm LP?,"After World War II, two new competing formats came onto the market and gradually replaced the standard ""78"": the 33 1⁄3 rpm (often just referred to as the 33 rpm), and the 45 rpm (see above)."
0,What are some other major wrestling companies?,"Currently, the largest professional wrestling company worldwide is the United States-based WWE, which bought out many smaller regional companies in the late 20th century, as well as its primary US competitors WCW and Extreme Championship Wrestling (ECW) in early 2001."
1,Who signed the Union of Utrecht?,"In 1579 a number of the northern provinces of the Low Countries signed the Union of Utrecht, in which they promised to support each other in their defence against the Spanish army."
0,What percentage of Norfolk Island is a permanent pasture?,"There is a strong belief on the island that some of the revenue generated from Norfolk's EEZ should be available to providing services such as health and infrastructure on the island, which the island has been responsible for, similar to how the Northern Territory is able to access revenue from their mineral resources."
0,Who was Prefect Nicholas Frochot under?,"Open from 1804, these were the cemeteries of Père Lachaise, Montmartre, Montparnasse, and later Passy; these cemeteries became inner-city once again when Paris annexed all neighbouring communes to the inside of its much larger ring of suburban fortifications in 1860."
0,Vessels of what navy protected convoys?,"Captain James Cook's vessel HMS Endeavour anchored and resupplied off the coast of St Helena in May 1771, on her return from the European discovery of the east coast of Australia and rediscovery of New Zealand."
1,In which year did Feynman orate the Caltech commencement speech?,"In 1974, Feynman delivered the Caltech commencement address on the topic of cargo cult science, which has the semblance of science, but is only pseudoscience due to a lack of ""a kind of scientific integrity, a principle of scientific thought that corresponds to a kind of utter honesty"" on the part of the scientist."
0,How many children came back from Auschwitz?,"On 16–17 July 1942, following German orders, the French police and gendarmes arrested 12,884 Jews, including 4,115 children, and confined them during five days at the Vel d'Hiv (Vélodrome d'Hiver), from which they were transported by train to the extermination camp at Auschwitz."
1,How long is the track connecting Brazzaville and Pointe-Noire?,"Thus, Congo is one of the most urbanized countries in Africa, with 70% of its total population living in a few urban areas, namely in Brazzaville, Pointe-Noire or one of the small cities or villages lining the 534-kilometre (332 mi) railway which connects the two cities."
1,What was Roper's position?,"On 19 May, George VI personally accepted and approved the Letter of Credence of the new U.S. Ambassador to Canada, Daniel Calhoun Roper; gave Royal Assent to nine parliamentary bills; and ratified two international treaties with the Great Seal of Canada."
1,How did Tajikistan change their economy?,"Tajikistan has achieved transition from a planned to a market economy without substantial and protracted recourse to aid (of which it by now receives only negligible amounts), and by purely market-based means, simply by exporting its main commodity of comparative advantage — cheap labor."
1,What events ended the war with Japan?,"The war culminated in the atomic bombings of Hiroshima and Nagasaki, and other large aerial bomb attacks by the United States Army Air Forces, accompanied by the Soviet invasion of Manchuria on 8 August 1945, resulting in the Japanese announcement of intent to surrender on 15 August 1945."
0,What was Mandela's nationality?,"Restrictions were placed on the activities of the Revolutionary Committees; in March 1988, their role was narrowed by the newly created Ministry for Mass Mobilization and Revolutionary Leadership to restrict their violence and judicial role, while in August 1988 Gaddafi publicly criticised them, asserting that ""they deviated, harmed, tortured"" and that ""the true revolutionary does not practise repression."""
0,What other career fields have seen an increase in active combat missions?,"Beyond combat flight crew personnel, perhaps the most dangerous USAF jobs are Explosive Ordnance Disposal (EOD), Combat rescue officer, Pararescue, Security Forces, Combat Control, Combat Weather, Tactical Air Control Party, and AFOSI agents, who deploy with infantry and special operations units who disarm bombs, rescue downed or isolated personnel, call in air strikes and set up landing zones in forward locations."
0,Who controlled the newly restored government of the Republic of Korea?,"On 27 September, MacArthur received the top secret National Security Council Memorandum 81/1 from Truman reminding him that operations north of the 38th parallel were authorized only if ""at the time of such operation there was no entry into North Korea by major Soviet or Chinese Communist forces, no announcements of intended entry, nor a threat to counter our operations militarily..."
0,What did A.W Kinglake make the British out to be?,"More recently, the historians Andrew Lambert and Winfried Baumgart have argued that, first, Britain was following a geopolitical strategy in aiming to destroy a fledgling Russian Navy which might challenge the Royal Navy for control of the seas, and second that the war was a joint European response to a century of Russian expansion not just southwards but also into western Europe."
1,When was MASHAV established?,"Israel's humanitarian efforts officially began in 1958, with the establishment of MASHAV, the Israeli Ministry of Foreign Affairs Agency for International Development Cooperation."
0,Of what nationality was Michel Aflaq?,"Maintaining his interest in Arab nationalist activism, he refused to join any of the banned political parties active in the city – including the Arab Nationalist Movement, the Arab Socialist Ba'ath Party, and the Muslim Brotherhood – claiming he rejected factionalism."
0,What makes up Education?,"Education can take place in formal or informal settings and any experience that has a formative effect on the way one thinks, feels, or acts may be considered educational."
0,How were the connections supported?,"This adds complexity to implementations of those protocols, and to other network protocols, such as those used for E-mail and the World Wide Web, on systems not using the NVT's CR-LF line-ending convention."
0,When was the Peloponnesian War?,"Spartan hegemony was succeeded by a Theban one after the Battle of Leuctra (371 BC), but after the Battle of Mantinea (362 BC), all of Greece was so weakened that no one state could claim pre-eminence."
1,Do they speak Spanish fluently?,"Of all major Hispanic groups, Puerto Ricans are the least likely to be proficient in Spanish, but millions of Puerto Rican Americans living in the U.S. mainland nonetheless are fluent in Spanish."
1,How many historical Christian creeds did Martin write about?,"Philosopher Michael Martin, in his book The Case Against Christianity, evaluated three historical Christian creeds (the Apostles' Creed, the Nicene Creed and the Athanasian Creed) to establish a set of basic assumptions which include belief in theism, the historicity of Jesus, the Incarnation, salvation through faith in Jesus, and Jesus as an ethical role model."
0,Who won season five of American Idol?,"Theories given for the success of Southerners on Idol have been: more versatility with musical genres, as the Southern U.S. is home to several music genre scenes; not having as many opportunities to break into the pop music business; text-voting due to the South having the highest percentage of cell-phone only households; and the strong heritage of music and singing, which is notable in the Bible Belt, where it is in church that many people get their start in public singing."
1,How many litres of water will the Wonthaggi desalination plant be capbale of treating per year?,"In response to low water supplies and low rainfall due to drought, the government implemented water restrictions and a range of other options including: water recycling schemes for the city, incentives for household water tanks, greywater systems, water consumption awareness initiatives, and other water saving and reuse initiatives; also, in June 2007, the Bracks Government announced that a $3.1 billion Wonthaggi desalination plant would be built on Victoria's south-east coast, capable of treating 150 billion litres of water per year, as well as a 70 km (43 mi) pipeline from the Goulburn area in Victoria's north to Melbourne and a new water pipeline linking Melbourne and Geelong."
0,Who does Charles Lamb speculate were once children?,"Many social codes are broken by people in symbolic courtrooms: Mr. Dolphus Raymond has been exiled by society for taking a black woman as his common-law wife and having interracial children; Mayella Ewell is beaten by her father in punishment for kissing Tom Robinson; by being turned into a non-person, Boo Radley receives a punishment far greater than any court could have given him."
1,In what year was Chopin born?,"Frédéric François Chopin (/ˈʃoʊpæn/; French pronunciation: ​[fʁe.de.ʁik fʁɑ̃.swa ʃɔ.pɛ̃]; 22 February or 1 March 1810 – 17 October 1849), born Fryderyk Franciszek Chopin,[n 1] was a Polish and French (by citizenship and birth of father) composer and a virtuoso pianist of the Romantic era, who wrote primarily for the solo piano."
